organism,strain,parameter,unit,direction,low_threshold,low_state,optimal_low,optimal_high,normal_state,high_threshold,high_state,gem_reaction,gem_model,reaction_type,notes,source_type,citation,confidence,resolution_note
B. subtilis,(base),CO2,%,byproduct,2.0,low_respiration,2.0,8.0,optimal,14.0,high_respiration,PDH,iYO844,metabolic,low_state=low_respiration; normal_state=optimal; high_state=high_respiration; direction=byproduct; unit=%,domain_knowledge,"CER in B. subtilis fermentation; limited standardized data; CAVEAT: process-dependent, validate on-site",MEDIUM,"CO2 thresholds are CER-derived estimates. Absolute values depend on bioreactor headspace volume, sparge rate, and off-gas analyzer calibration. Use as relative trend indicator, not absolute setpoint. Validate against site-specific off-gas baseline."
B. subtilis,(base),DO,%,substrate,10.0,microaerobic,10.0,30.0,optimal,80.0,excess,CYTB_B2,iYO844,metabolic,low_state=microaerobic; normal_state=optimal; high_state=excess; direction=substrate; unit=%,literature,Cruz Ramos et al. 2000 J Bacteriol (anaerobic regulon),MEDIUM,
B. subtilis,(base),O2,%,substrate,14.0,high_OUR,14.0,18.0,balanced,21.0,low_demand,CYTB_B2,iYO844,metabolic,low_state=high_OUR; normal_state=balanced; high_state=low_demand; direction=substrate; unit=%,literature,Obligate aerobe; OUR from Dauner et al. 2001,MEDIUM,
B. subtilis,(base),OD600,OD,output,5.0,lag_or_slow,5.0,20.0,exponential,50.0,high_density,BIOMASS_Bs,iYO844,custom_exchange,low_state=lag_or_slow; normal_state=exponential; high_state=high_density; direction=output; unit=OD,domain_knowledge,Growth curves; sporulation transition density process-specific,MEDIUM,"B. subtilis OD600 thresholds depend on sporulation kinetics, which vary by strain (168 vs PY79 vs WB800N) and medium composition. Thresholds set for vegetative growth phase; adjust high threshold based on sporulation onset observed in your specific strain/medium combination."
B. subtilis,(base),acetoin,g/L,byproduct,0.5,optimal,0.5,2.0,moderate,5.0,overflow,ACLDC,iYO844,metabolic,low_state=optimal; normal_state=moderate; high_state=overflow; direction=byproduct; unit=g/L,literature,Renna et al. 1993 J Bacteriol (alsSD operon),MEDIUM,
B. subtilis,(base),agitation,rpm,control,200.0,poor_mixing,200.0,500.0,optimal,800.0,foam_risk,kLa,iYO844,control_placeholder,low_state=poor_mixing; normal_state=optimal; high_state=foam_risk; direction=control; unit=rpm,literature,Surfactin foaming from Cooper et al. 1981; kLa for aerobe,MEDIUM,
B. subtilis,(base),ammonia,mM,substrate_and_byproduct,1.0,nitrogen_limited,1.0,10.0,optimal,25.0,excess,GLNS,iYO844,metabolic,low_state=nitrogen_limited; normal_state=optimal; high_state=excess; direction=substrate_and_byproduct; unit=mM,literature,Fisher 1999 Mol Microbiol (GlnR regulon),MEDIUM,
B. subtilis,(base),glucose,g/L,substrate,1.0,carbon_starved,1.0,5.0,optimal,12.0,overflow_risk,GLCptspp,iYO844,metabolic,low_state=carbon_starved; normal_state=optimal; high_state=overflow_risk; direction=substrate; unit=g/L,literature,Dauner et al. 2001 Biotechnol Bioeng; Spo0A sporulation literature,MEDIUM,
B. subtilis,(base),pH,,indicator,6.0,acidosis,6.0,7.0,optimal,8.0,alkaline,EX_h_e,iYO844,metabolic,low_state=acidosis; normal_state=optimal; high_state=alkaline; direction=indicator,literature,Hahne et al. 2010 J Proteome Res; subtilisin alkaline protease context,MEDIUM,
B. subtilis,(base),temperature,C,control,30.0,reduced_temp,30.0,37.0,optimal,50.0,heat_stress,TEMP_CONTROL,iYO844,control_placeholder,low_state=reduced_temp; normal_state=optimal; high_state=heat_stress; direction=control; unit=C,textbook,Hecker et al. 2007 Microbiology (sigB stress),HIGH,
B. subtilis,(base),titer,g/L,product,0.5,low_expression,0.5,5.0,on_track,15.0,high_expression,ENZYME_secretion,iYO844,custom_exchange,low_state=low_expression; normal_state=on_track; high_state=high_expression; direction=product; unit=g/L,literature,Westers et al. 2004 BBA; native enzyme 20-25 g/L,MEDIUM,
B. subtilis,(base),viability,%,indicator,45.0,autolysis,45.0,75.0,moderate_stress,95.0,healthy,AUTOLYSIS,iYO844,biological_state,low_state=autolysis; normal_state=moderate_stress; high_state=healthy; direction=indicator; unit=%,domain_knowledge,Autolysis (LytC/LytD) complicates measurement; Smith et al. 2000,MEDIUM,"Viability threshold widened conservatively: low 50.0% -> 45.0%. Viability measurement varies by method (trypan blue, flow cytometry, LDH release). Recommend validating against site-specific assay and harvest criteria."
